Airline,Source,Destination,Total_Stops,Price,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Date,Month,Duration_Hours,Duration_Mins,Weekday,day/night
Multiple carriers,Delhi,Cochin,1,7574,4,45,19,15,27,3,14.0,30,3,1.0
Air India,Delhi,Cochin,2,11596,12,55,19,15,5,9,6.0,20,4,3.0
Jet Airways,Delhi,Cochin,2,15129,23,5,19,0,24,5,19.0,55,5,5.0
Jet Airways,Banglore,Delhi,1,13555,14,5,5,5,18,3,15.0,0,1,3.0
IndiGo,Banglore,Delhi,0,5780,18,55,21,50,4,12,2.0,55,3,4.0
Vistara,Kolkata,Banglore,1,9397,20,20,9,5,5,12,12.0,45,4,5.0
Jet Airways,Delhi,Cochin,1,17024,18,15,4,25,3,6,10.0,10,1,4.0
GoAir,Delhi,Cochin,1,5281,7,0,12,55,27,6,5.0,55,4,1.0
Multiple carriers,Delhi,Cochin,1,10348,7,5,22,30,18,5,15.0,25,6,1.0
Air India,Delhi,Cochin,1,12677,17,20,9,25,3,6,16.0,5,1,4.0
Multiple carriers,Delhi,Cochin,1,15147,15,25,1,35,3,3,10.0,10,7,3.0
Vistara,Banglore,Delhi,0,4668,7,0,9,40,6,12,2.0,40,5,1.0
Jet Airways,Delhi,Cochin,1,15554,7,5,19,0,5,9,11.0,55,4,1.0
SpiceJet,Banglore,Delhi,0,3971,5,55,8,35,4,9,2.0,40,3,1.0
Air India,Mumbai,Hyderabad,0,3100,15,0,16,25,5,3,1.0,25,2,3.0
Jet Airways,Kolkata,Banglore,1,9663,20,0,10,5,5,6,14.0,5,3,5.0
Air India,Delhi,Cochin,1,23017,23,0,19,15,3,1,20.0,15,4,5.0
IndiGo,Chennai,Kolkata,0,3540,5,15,7,40,5,12,2.0,25,4,1.0
Air India,Kolkata,Banglore,2,10676,12,0,11,10,21,5,23.0,10,2,3.0
Jet Airways,Kolkata,Banglore,1,13044,14,5,8,15,6,12,18.0,10,5,3.0
Jet Airways,Kolkata,Banglore,1,14388,20,0,12,0,5,6,16.0,0,3,5.0
IndiGo,Banglore,Delhi,0,3943,4,0,6,50,24,6,2.0,50,1,1.0
IndiGo,Chennai,Kolkata,0,3597,14,45,17,5,6,3,2.0,20,3,3.0
Air India,Banglore,Delhi,1,5932,11,50,19,50,21,3,8.0,0,4,2.0
Jet Airways,Delhi,Cochin,1,10262,11,30,4,25,15,6,16.0,55,6,2.0
Vistara,Delhi,Cochin,0,6216,14,40,17,50,5,12,3.0,10,4,3.0
IndiGo,Kolkata,Banglore,0,4804,20,25,23,10,15,6,2.0,45,6,5.0
Multiple carriers,Delhi,Cochin,1,14067,11,30,1,30,21,5,14.0,0,2,2.0
Jet Airways,Delhi,Cochin,2,15129,19,10,19,0,18,5,23.0,50,6,4.0
Jet Airways,Delhi,Cochin,2,13376,6,45,4,25,6,6,21.0,40,4,1.0
Air India,Delhi,Cochin,2,10441,22,0,19,15,27,6,21.0,15,4,5.0
Jet Airways,Banglore,Delhi,0,4030,6,0,8,45,24,5,2.0,45,5,1.0
Jet Airways,Delhi,Cochin,1,17024,8,0,18,50,3,3,10.0,50,7,2.0
Multiple carriers,Delhi,Cochin,1,13017,17,30,1,30,4,9,8.0,0,3,4.0
GoAir,Kolkata,Banglore,1,6686,23,30,7,45,6,6,8.0,15,4,5.0
IndiGo,Delhi,Cochin,1,5636,2,0,7,25,15,6,5.0,25,6,6.0
IndiGo,Delhi,Cochin,1,6442,7,35,16,10,6,9,8.0,35,5,1.0
Multiple carriers,Delhi,Cochin,1,9486,13,5,0,55,21,5,11.0,50,2,3.0
Jet Airways,Kolkata,Banglore,1,10844,20,0,23,35,21,5,3.0,35,2,5.0
Jet Airways,Delhi,Cochin,2,15318,20,0,4,25,6,3,8.0,25,3,5.0
Air India,Delhi,Cochin,1,5117,12,30,9,25,4,3,20.0,55,1,3.0
IndiGo,Delhi,Cochin,1,6147,15,10,20,0,24,6,4.0,50,1,3.0
Multiple carriers,Delhi,Cochin,1,7005,12,50,21,0,6,9,8.0,10,5,3.0
SpiceJet,Kolkata,Banglore,0,3873,22,20,0,40,4,3,2.0,20,1,5.0
Jet Airways,Delhi,Cochin,2,9270,18,25,18,50,21,3,24.0,25,4,4.0
GoAir,Banglore,Delhi,0,3898,11,40,14,30,27,6,2.0,50,4,2.0
Jet Airways,Kolkata,Banglore,1,14781,8,25,20,45,5,12,12.0,20,4,2.0
Jet Airways,Kolkata,Banglore,1,8586,20,0,8,15,24,5,12.0,15,5,5.0
Air India,Kolkata,Banglore,2,10697,8,20,7,55,5,9,23.0,35,4,2.0
Jet Airways,Delhi,Cochin,2,14300,20,0,12,35,27,6,16.0,35,4,5.0
IndiGo,Banglore,Delhi,0,8855,18,55,21,45,3,3,2.0,50,7,4.0
Jet Airways,Kolkata,Banglore,1,10844,16,30,18,15,5,12,1.0,45,4,4.0
Jet Airways,Delhi,Cochin,1,17024,2,15,4,25,3,6,2.0,10,1,6.0
Jet Airways,Kolkata,Banglore,1,9314,9,35,14,25,5,1,4.0,50,6,2.0
IndiGo,Banglore,Delhi,0,4777,0,40,3,25,24,3,2.0,45,7,6.0
Air India,Kolkata,Banglore,1,7662,12,0,13,15,6,9,1.0,15,5,3.0
IndiGo,Delhi,Cochin,1,6442,6,50,16,10,5,9,9.0,20,4,1.0
SpiceJet,Delhi,Cochin,1,5264,8,45,13,15,6,12,4.0,30,5,2.0
Jet Airways,Delhi,Cochin,1,12898,13,0,4,25,27,5,15.0,25,1,3.0
Air India,Mumbai,Hyderabad,0,6092,13,55,15,25,3,3,1.0,30,7,3.0
SpiceJet,Banglore,Delhi,0,3311,5,55,8,35,21,5,2.0,40,2,1.0
Jet Airways,Delhi,Cochin,1,6540,19,15,4,25,27,3,9.0,10,3,4.0
IndiGo,Banglore,Delhi,0,3419,1,30,4,15,27,5,2.0,45,1,6.0
Jet Airways,Delhi,Cochin,1,5177,14,0,12,35,4,3,22.0,35,1,3.0
Air India,Delhi,Cochin,0,8246,18,5,21,10,18,4,3.0,5,4,4.0
Jet Airways,Kolkata,Banglore,1,14676,9,35,21,5,6,9,11.0,30,5,2.0
Multiple carriers,Delhi,Cochin,1,13587,11,30,21,0,27,6,9.0,30,4,2.0
Jet Airways,Kolkata,Banglore,1,9663,21,10,9,20,5,6,12.0,10,3,5.0
Jet Airways,Kolkata,Banglore,1,13044,16,30,10,5,6,12,17.0,35,5,4.0
IndiGo,Delhi,Cochin,1,5073,20,25,1,30,4,3,5.0,5,1,5.0
Vistara,Kolkata,Banglore,1,9345,17,0,18,50,21,5,1.0,50,2,4.0
Jet Airways,Kolkata,Banglore,1,9663,14,5,10,5,5,6,20.0,0,3,3.0
Multiple carriers,Delhi,Cochin,1,14277,8,0,21,0,21,5,13.0,0,2,2.0
Jet Airways,Delhi,Cochin,1,10262,10,0,4,25,6,1,18.0,25,7,2.0
Jet Airways,Mumbai,Hyderabad,0,5678,19,35,21,5,27,3,1.0,30,3,4.0
Multiple carriers,Delhi,Cochin,1,13727,16,0,1,30,15,5,9.0,30,3,4.0
Jet Airways,Kolkata,Banglore,1,9663,20,0,12,0,5,6,16.0,0,3,5.0
IndiGo,Chennai,Kolkata,0,3858,14,45,17,5,5,12,2.0,20,4,3.0
SpiceJet,Delhi,Cochin,1,4812,8,45,13,15,24,6,4.0,30,1,2.0
IndiGo,Delhi,Cochin,1,5775,21,50,3,35,27,6,5.0,45,4,5.0
Jet Airways,Kolkata,Banglore,1,10539,9,35,9,45,6,6,24.0,10,4,2.0
IndiGo,Kolkata,Banglore,0,4804,15,30,18,5,6,3,2.0,35,3,3.0
Air Asia,Banglore,Delhi,0,3383,11,10,13,55,6,12,2.0,45,5,2.0
IndiGo,Banglore,Delhi,1,8738,12,10,17,5,3,3,4.0,55,7,3.0
Air India,Delhi,Cochin,1,7165,5,15,6,50,27,3,1.0,35,3,1.0
IndiGo,Delhi,Cochin,1,6412,16,10,22,30,24,6,6.0,20,1,4.0
Jet Airways,Banglore,Delhi,0,8016,18,55,22,0,27,6,3.0,5,4,4.0
Jet Airways,Banglore,Delhi,1,11087,20,35,15,15,3,12,18.0,40,2,5.0
SpiceJet,Chennai,Kolkata,0,3543,9,45,12,0,27,6,2.0,15,4,2.0
Jet Airways,Kolkata,Banglore,1,12471,16,30,4,40,6,12,12.0,10,5,4.0
Jet Airways,Delhi,Cochin,1,10262,9,0,4,25,24,6,19.0,25,1,2.0
Air India,Banglore,Delhi,0,4441,13,20,16,10,18,3,2.0,50,1,3.0
Multiple carriers,Delhi,Cochin,1,12537,7,5,15,30,27,3,8.0,25,3,1.0
GoAir,Kolkata,Banglore,1,10091,22,25,7,40,24,3,9.0,15,7,5.0
Air India,Banglore,Delhi,0,6961,21,5,23,55,6,3,2.0,50,3,5.0
IndiGo,Delhi,Cochin,0,5013,5,35,8,50,24,4,3.0,15,3,1.0
Air India,Delhi,Cochin,0,6934,5,10,8,0,18,5,2.0,50,6,1.0
Multiple carriers,Delhi,Cochin,1,10877,6,40,19,0,6,3,12.0,20,3,1.0
Jet Airways,Banglore,Delhi,0,7229,15,15,18,10,18,4,2.0,55,4,3.0
IndiGo,Delhi,Cochin,1,7048,16,0,1,35,27,3,9.0,35,3,4.0
Vistara,Banglore,Delhi,0,4878,17,0,19,35,27,6,2.0,35,4,4.0
Jet Airways,Kolkata,Banglore,1,10844,14,5,23,35,21,5,9.0,30,2,3.0
Jet Airways,Delhi,Cochin,2,15129,23,5,4,25,18,5,5.0,20,6,5.0
IndiGo,Banglore,Delhi,0,3943,0,30,3,25,5,12,2.0,55,4,6.0
SpiceJet,Delhi,Cochin,1,5583,6,5,11,20,6,6,5.0,15,4,1.0
Multiple carriers,Delhi,Cochin,1,9646,7,5,16,10,6,6,9.0,5,4,1.0
Multiple carriers,Delhi,Cochin,1,7677,8,30,19,15,6,3,10.0,45,3,2.0
IndiGo,Delhi,Cochin,1,6842,5,10,10,5,6,1,4.0,55,7,1.0
Jet Airways,Mumbai,Hyderabad,0,4995,8,45,10,15,24,6,1.0,30,1,2.0
Vistara,Kolkata,Banglore,1,9555,7,10,18,50,6,9,11.0,40,5,1.0
IndiGo,Banglore,Delhi,0,4077,1,30,4,15,6,1,2.0,45,7,6.0
Jet Airways,Banglore,Delhi,0,7229,15,15,18,10,5,12,2.0,55,4,3.0
Multiple carriers,Delhi,Cochin,1,12192,9,0,19,0,6,9,10.0,0,5,2.0
Air India,Banglore,Delhi,0,5911,10,0,12,45,4,12,2.0,45,3,2.0
Air India,Delhi,Cochin,1,8372,9,0,19,15,6,12,10.0,15,5,2.0
Jet Airways,Mumbai,Hyderabad,0,4995,7,10,8,35,18,3,1.0,25,1,1.0
Multiple carriers,Delhi,Cochin,1,14323,10,0,19,15,5,9,9.0,15,4,2.0
Jet Airways,Delhi,Cochin,2,13014,5,30,4,25,6,9,22.0,55,5,1.0
Air India,Delhi,Cochin,2,13591,14,25,19,15,6,6,4.0,50,4,3.0
Jet Airways,Delhi,Cochin,2,18799,5,25,18,50,3,3,34.5,25,7,1.0
IndiGo,Banglore,Delhi,0,3943,23,30,2,20,27,4,2.0,50,6,5.0
SpiceJet,Mumbai,Hyderabad,0,1965,5,45,7,15,21,5,1.0,30,2,1.0
Jet Airways,Mumbai,Hyderabad,0,4995,10,20,11,50,27,5,1.0,30,1,2.0
Air India,Kolkata,Banglore,1,14641,16,50,18,30,24,3,1.0,40,7,4.0
Air India,Kolkata,Banglore,0,4460,20,45,23,20,4,12,2.0,35,3,5.0
Air India,Delhi,Cochin,1,10191,13,0,19,15,18,5,6.0,15,6,3.0
Jet Airways,Delhi,Cochin,1,13843,2,15,19,45,3,9,17.0,30,2,6.0
IndiGo,Delhi,Cochin,1,6349,21,50,3,35,5,1,5.0,45,6,5.0
Air Asia,Kolkata,Banglore,0,4409,10,20,12,55,5,1,2.0,35,6,2.0
Jet Airways,Delhi,Cochin,1,17024,18,15,19,45,3,6,1.0,30,1,4.0
Multiple carriers,Delhi,Cochin,1,13727,7,5,21,0,18,5,13.0,55,6,1.0
IndiGo,Banglore,Delhi,0,8855,18,25,21,20,15,3,2.0,55,5,4.0
Multiple carriers,Delhi,Cochin,1,12524,8,45,19,0,24,6,10.0,15,1,2.0
Jet Airways,Banglore,Delhi,1,13555,11,40,20,20,18,3,8.0,40,1,2.0
Jet Airways,Kolkata,Banglore,1,10844,6,30,12,0,6,6,5.0,30,4,1.0
Multiple carriers,Delhi,Cochin,1,13587,9,0,21,0,6,9,12.0,0,5,2.0
SpiceJet,Chennai,Kolkata,0,3543,9,45,12,0,6,12,2.0,15,5,2.0
Vistara,Chennai,Kolkata,0,4842,7,5,9,20,18,3,2.0,15,1,1.0
IndiGo,Banglore,Delhi,0,3943,23,30,2,20,24,4,2.0,50,3,5.0
Jet Airways,Delhi,Cochin,1,10577,19,15,4,25,6,9,9.0,10,5,4.0
IndiGo,Delhi,Cochin,1,6979,10,35,21,0,15,5,10.0,25,3,2.0
Vistara,Chennai,Kolkata,0,11982,17,45,20,5,27,6,2.0,20,4,4.0
SpiceJet,Delhi,Cochin,1,5264,8,45,13,15,6,6,4.0,30,4,2.0
Vistara,Delhi,Cochin,0,8001,6,0,9,10,3,3,3.0,10,7,1.0
Air India,Delhi,Cochin,2,10651,19,45,19,15,6,1,23.0,30,7,4.0
Jet Airways,Kolkata,Banglore,1,10844,16,30,19,50,24,5,3.0,20,5,4.0
Multiple carriers,Delhi,Cochin,1,6601,9,45,22,20,27,3,12.0,35,3,2.0
Air India,Delhi,Cochin,1,6587,19,0,19,15,21,3,24.0,15,4,4.0
SpiceJet,Mumbai,Hyderabad,0,3173,13,10,14,30,21,3,1.0,20,4,3.0
Air India,Banglore,Delhi,0,5228,10,0,12,45,5,9,2.0,45,4,2.0
Jet Airways,Banglore,Delhi,0,5769,7,10,10,10,21,6,3.0,0,5,1.0
Jet Airways,Delhi,Cochin,1,14714,8,0,19,0,6,6,11.0,0,4,2.0
Jet Airways,Delhi,Cochin,2,13014,5,30,19,0,6,3,13.0,30,3,1.0
IndiGo,Banglore,Delhi,0,3359,22,10,1,0,6,3,2.0,50,3,5.0
GoAir,Banglore,Delhi,0,6722,20,55,23,50,3,3,2.0,55,7,5.0
IndiGo,Kolkata,Banglore,0,4462,9,35,12,20,18,3,2.0,45,1,2.0
IndiGo,Delhi,Cochin,1,6171,4,55,16,10,3,9,11.0,15,2,1.0
Air India,Kolkata,Banglore,2,12303,5,50,20,25,21,5,14.0,35,2,1.0
Multiple carriers,Delhi,Cochin,1,7695,11,40,1,35,21,3,13.0,55,4,2.0
IndiGo,Delhi,Cochin,1,5684,11,25,1,30,24,6,14.0,5,1,2.0
Air India,Kolkata,Banglore,1,8366,16,50,7,55,6,12,15.0,5,5,4.0
Air India,Chennai,Kolkata,0,19630,11,40,13,55,3,1,2.0,15,4,2.0
Jet Airways,Banglore,Delhi,1,13502,14,5,5,5,3,6,15.0,0,1,3.0
Jet Airways,Kolkata,Banglore,1,14781,21,10,10,5,5,1,12.0,55,6,5.0
Multiple carriers,Delhi,Cochin,1,6513,7,10,16,10,6,12,9.0,0,5,1.0
Air India,Delhi,Cochin,1,9929,7,0,19,15,6,1,12.0,15,7,1.0
Multiple carriers,Delhi,Cochin,2,18275,17,50,1,30,6,6,7.0,40,4,4.0
Air India,Delhi,Cochin,1,4487,6,5,9,25,4,9,3.0,20,3,1.0
IndiGo,Mumbai,Hyderabad,0,2754,21,20,22,45,15,3,1.0,25,5,5.0
Air India,Mumbai,Hyderabad,0,2575,6,20,7,40,27,3,1.0,20,3,1.0
SpiceJet,Kolkata,Banglore,1,8224,15,55,21,25,6,12,5.0,30,5,3.0
Air India,Delhi,Cochin,1,8991,20,30,8,15,3,9,11.0,45,2,5.0
IndiGo,Delhi,Cochin,0,5000,5,35,8,50,24,6,3.0,15,1,1.0
Jet Airways,Kolkata,Banglore,1,8529,18,55,19,50,6,12,24.0,55,5,4.0
Air India,Delhi,Cochin,1,14042,6,5,9,25,3,3,3.0,20,7,1.0
Jet Airways,Banglore,Delhi,0,4030,11,10,14,5,24,5,2.0,55,5,2.0
Jet Airways,Kolkata,Banglore,1,10844,18,55,12,0,6,6,17.0,5,4,4.0
IndiGo,Kolkata,Banglore,0,4804,21,25,0,5,5,6,2.0,40,3,5.0
Multiple carriers,Delhi,Cochin,1,7308,17,30,1,30,27,5,8.0,0,1,4.0
IndiGo,Banglore,Delhi,0,4823,16,55,19,55,5,12,3.0,0,4,4.0
Jet Airways,Delhi,Cochin,1,10262,9,0,12,35,24,6,3.0,35,1,2.0
Jet Airways,Delhi,Cochin,1,12898,20,55,4,25,27,5,7.0,30,1,5.0
Air India,Banglore,Delhi,2,12778,17,25,16,20,3,12,22.0,55,2,4.0
IndiGo,Delhi,Cochin,1,14871,4,45,13,20,3,3,8.0,35,7,1.0
Air India,Delhi,Cochin,2,8708,13,20,19,15,21,3,5.0,55,4,3.0
Jet Airways,Kolkata,Banglore,1,10844,20,0,18,15,6,6,22.0,15,4,5.0
SpiceJet,Mumbai,Hyderabad,0,4129,5,45,7,5,3,6,1.0,20,1,1.0
IndiGo,Kolkata,Banglore,0,4804,21,25,0,5,18,5,2.0,40,6,5.0
Jet Airways,Banglore,Delhi,0,7229,8,20,11,20,5,6,3.0,0,3,2.0
Jet Airways,Banglore,Delhi,1,7832,7,0,19,10,21,3,12.0,10,4,1.0
SpiceJet,Chennai,Kolkata,0,3859,9,30,12,5,18,3,2.0,35,1,2.0
Multiple carriers,Delhi,Cochin,1,9001,7,30,19,15,6,6,11.0,45,4,1.0
Vistara,Banglore,Delhi,0,4878,17,0,19,35,5,9,2.0,35,4,4.0
IndiGo,Mumbai,Hyderabad,0,2754,2,35,4,5,5,3,1.0,30,2,6.0
Vistara,Banglore,Delhi,0,4668,7,0,9,40,27,6,2.0,40,4,1.0
Air Asia,Kolkata,Banglore,0,5216,10,20,12,55,5,12,2.0,35,4,2.0
